Year	SmOR	SmCA	SmOC	SmCR	SmD	SmCRNorm	SmOPI	JackOC	JackCR	JackOPI	AdltPUB	AdltSRS	AdltMSM
1969	3.4	1.4	4.8	27.6	0			13.6	148.6	162.2	NA	NA	NA
1970	3.4	1.4	4.8	24	0			6.6	172.8	179.4	2500.9	2765.1	NA
1971	4.1	1	5.1	28.2	0			2.9	100.8	103.7	2694.6	3365	NA
1972	3.8	1.6	5.4	29.9	1.8			5.7	85.7	91.4	1610.5	1924.8	NA
1973	3.9	1.2	5.1	28.5	2.9			12.1	132	144.2	1437.4	1817	NA
1974	4.1	0.6	4.7	27.9	1.8			1.1	75.1	76.2	2684.7	3071.1	NA
1975	3.4	1.6	5	29	2			25.3	146.2	171.5	1315.9	1652.8	NA
1976	4	0.6	4.6	28.9	0.2			7.5	46.3	53.8	3081.2	3885.3	NA
1977	3.2	0.9	4.1	31.4	0			4	99.2	103.2	780.2	987.5	NA
1978	4	0.5	4.5	32.6	5			8.4	64.1	72.5	1568.2	1824.1	NA
1979	4.5	0.8	5.3	28.9	6.7			6	51.6	57.7	1153.8	1476.7	NA
1980	3.4	0.8	4.2	28.1	5.6			8.1	40.6	48.7	1046.9	1224	NA
1981	3.9	0.9	4.8	32.5	6.8			6.3	55	61.3	906.6	1064.5	NA
1982	4.3	0.6	4.9	27.8	5			7.2	61	68.3	1170.8	1266.8	NA
1983	3	0.9	3.9	27	5.1			3.6	28	31.6	486.7	599.2	NA
1984	4.5	0.7	5.2	29.3	9.1			7.8	18.2	26	643.7	691.3	NA
1985	3.8	0.2	4	28.8	12.2			12.9	64.6	77.5	647.6	717.5	NA
1986	4.8	1.8	6.6	32.9	9			8.7	24.2	32.9	2375.5	2435.8	2412
1987	4.9	1.3	6.2	28.8	7.7			12.9	72.3	85.2	807.2	887.2	779.4
1988	5.3	1.2	6.5	29.5	7.2			5.8	55	60.8	1558.8	1669.3	1467.8
1989	5.2	1.3	6.5	29.6	8.5			9.6	37.1	46.6	1629.7	1720.2	1922
1990	5.7	1.2	6.9	30.3	7.1			7.9	60.7	68.6	631.5	718.4	713.6
1991	5.3	1.5	6.8	35.3	6			5.7	19.9	25.6	1814.6	1874.8	1816.5
1992	6.2	0.7	6.9	32.8	5.5			7.5	19.6	27.1	485.8	543.6	512.6
1993	4.3	0.8	5.1	34.4	6.0			1.3	3.9	5.2	228.6	261.7	223.3
1994	5.0	0.6	5.6	26.6	3.1			2.7	9.1	11.8	201.2	202.3	214.1
1995	3.7	0.7	4.4	25.1	4.2			3.2	14.1	17.4	136.3	147.2	139.4
1996	3.3	0.3	3.6	28.0	3.4	24.6	31.6	4.6	15.8	20.4	175.0	185.2	176.5
1997	2.9	0.7	3.6	21.0	2.5	18.5	24.6	3.0	6.7	9.7	192.5	200.7	195.6
1998	1.7	0.6	2.3	26.8	3.0	23.8	29.1	5.9	23.6	29.5	202.0	207.5	228.3
1999	1.1	0.7	1.8	27.9	4.1	23.8	29.7	3.5	31.3	34.8	317.6	334.5	372.5
2000	0.9	0.6	1.5	30.7	2.0	28.7	32.2	15.7	71.7	87.4	600.0	673.2	673.1
2001	0.9	0.6	1.5	25.3	1.4	23.9	26.8	6.3	18.9	25.2	1600.0	1417.1	1478.7
2002	1.0	0.6	1.6	23.7	0.3	23.4	25.3	8.2	41.7	49.9	700.0	649.8	689.5
2003	0.8	0.5	1.3	23.2	2.0	21.2	24.5	6.0	29.4	35.4	700.0	936.6	1009.9
2004	0.8	0.6	1.4	22.0	0.8	21.2	23.4	3.8	21.2	25.0	700.0	622.1	693.6
2005	0.8	0.6	1.4	20.6	0.4	20.2	22.0	5.0	20.9	25.9	700.0	443.2	454.0
2006	0.8	0.6	1.4	20.4	0.1	20.3	21.8	2.2	34.2	36.3	700.0	440.6	523.4
2007	0.7	0.6	1.3	21.4	0.6	20.8	22.7	1.2	14.9	16.0	700.0	476.6	545.3
2008	0.4	0.5	0.9	21.9	1.1	20.8	22.8	2.0	58.4	60.4	700.0	565.3	576.9
2009	0.4	0.6	1.0	20.9	0.2	20.7	21.9	1.4	23.8	25.1	700.0	1066.2	1051.0
2010	0.3	0.5	0.8	18.5	0.3	18.2	19.3	1.1	22.2	23.3	700.0	551.3	546.5
2011	0.4	0.5	0.9	19.0	0.9	18.1	19.9	4.0	13.9	17.9	700.0	442.3	454.2
2012	0.4	0.6	1.0	18.2	1.1	17.1	19.2	2.2	24.1	26.3	700.0	182.3	183.1
2013	0.4	0.6	1.0	18.6	0.6	18.0	19.6	2.0	49.4	51.4	700.0	316.9	335.1
2014	0.4	0.6	1.0	18.4	1.5	16.9	19.4	2.6	37.0	39.6	700.0	1263.6	1316.5
2015	0.3	0.4	0.7	18.2	1.3	16.9	18.9	1.0	18.6	19.7	NA	251.7	268.9
2016	0.3	0.3	0.6	17.8	1.3	16.5	18.4	0.5	22.4	22.9	NA	NA	247.7
2017	0.3	0.3	0.6	16.7	0.7	16.0	17.3	0.7	18.5	19.2	NA	NA	291.8
2018	0.3	0.3	0.6	19.1	0.5	18.6	19.7	0.8	46.7	47.4	NA	NA	182.8
2019	0.3	0.2	0.5	17.8	0.5	16.8	18.3	0.3	14.9	15.2	NA	NA	340.7
2020	0.3	0.4	0.7	18.5	0.4	18.1	19.2	3.2	89.1	92.3	NA	NA	387.7
2021	0.3	0.4	0.7	17.9	0.3	17.6	18.6	1.285	62.4	63.7	NA	NA	841.3
2022	0.1	0.4	0.5	17.1	0.3	16.8	17.6	0.837	51.9	52.7	NA	NA	696.0
2023	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
